[[   0.      4.71]
 [   4.75   21.48]
 [  21.52   24.48]
 [  24.52   29.11]
 [  29.15   31.28]
 [  31.32   34.95]
 [  34.99   39.46]
 [  39.5    40.96]
 [  41.     52.3 ]
 [  52.34   54.3 ]
 [  54.35   57.31]
 [  57.35   60.31]
 [  60.35   61.56]
 [  61.6    65.32]
 [  65.36   69.36]
 [  69.4    71.86]
 [  71.91   74.28]
 [  74.32   78.2 ]
 [  78.24   90.22]
 [  90.26   96.72]
 [  96.76  103.06]
 [ 103.1   107.07]
 [ 107.11  109.48]
 [ 109.53  117.41]
 [ 117.45  121.87]
 [ 121.91  124.87]
 [ 124.92  129.13]
 [ 129.17  132.13]
 [ 132.17  135.64]
 [ 135.68  141.6 ]
 [ 141.64  142.85]
 [ 142.89  145.56]
 [ 145.6   147.73]
 [ 147.77  150.61]
 [ 150.65  154.03]
 [ 154.07  156.49]
 [ 156.53  163.5 ]
 [ 163.54  166.  ]
 [ 166.04  171.  ]
 [ 171.05  172.51]
 [ 172.55  174.51]
 [ 174.55  176.3 ]
 [ 176.34  182.64]
 [ 182.68  188.02]
 [ 188.06  192.44]
 [ 192.48  194.44]
 [ 194.49  196.95]
 [ 196.99  198.91]
 [ 198.95  203.33]
 [ 203.37  212.3 ]
 [ 212.34  220.3 ]
 [ 220.35  225.68]
 [ 225.73  229.65]
 [ 229.69  234.15]
 [ 234.19  236.65]
 [ 236.69  239.66]
 [ 239.7   243.16]
 [ 243.2   248.67]
 [ 248.71  255.42]
 [ 255.46  258.63]
 [ 258.68  261.01]
 [ 261.05  269.77]
 [ 269.81  275.78]
 [ 275.82  285.28]
 [ 285.33  294.17]
 [ 294.21  300.17]
 [ 300.22  305.1 ]
 [ 305.14  306.22]
 [ 306.26  308.77]
 [ 308.81  310.23]
 [ 310.27  312.6 ]
 [ 312.65  315.11]
 [ 315.15  317.36]
 [ 317.4   320.86]
 [ 320.9   324.87]
 [ 324.91  329.87]
 [ 329.91  331.87]
 [ 331.91  337.38]
 [ 337.42  340.63]
 [ 340.67  342.05]
 [ 342.09  348.01]
 [ 348.06  357.02]
 [ 357.07  359.53]
 [ 359.57  361.28]
 [ 361.32  364.03]
 [ 364.07  365.74]
 [ 365.78  368.37]
 [ 368.41  368.99]
 [ 369.04  369.91]
 [ 369.95  372.91]
 [ 372.96  375.92]
 [ 375.96  378.92]
 [ 378.96  381.67]
 [ 381.71  385.84]
 [ 385.89  388.55]
 [ 388.6   393.64]
 [ 393.68  399.02]
 [ 399.07  405.03]
 [ 405.07  410.28]
 [ 410.33  412.79]
 [ 412.83  420.8 ]
 [ 420.84  432.18]
 [ 432.22  443.32]
 [ 443.36  448.45]
 [ 448.49  449.78]
 [ 449.82  450.66]
 [ 450.7   451.74]
 [ 451.78  453.2 ]
 [ 453.24  456.08]
 [ 456.12  458.08]
 [ 458.12  460.54]
 [ 460.59  463.55]
 [ 463.59  467.38]
 [ 467.43  472.39]
 [ 472.43  474.77]
 [ 474.81  476.73]
 [ 476.77  483.23]
 [ 483.27  490.11]
 [ 490.16  491.7 ]
 [ 491.74  496.2 ]
 [ 496.25  501.71]
 [ 501.75  505.17]
 [ 505.21  507.13]
 [ 507.17  510.26]
 [ 510.3   516.1 ]
 [ 516.14  516.93]
 [ 516.97  519.81]
 [ 519.85  523.31]
 [ 523.36  526.32]
 [ 526.36  529.32]
 [ 529.36  534.08]
 [ 534.12  538.08]
 [ 538.12  541.04]
 [ 541.08  546.5 ]
 [ 546.55  551.22]
 [ 551.26  557.14]
 [ 557.18  561.14]
 [ 561.19  563.15]
 [ 563.19  568.11]
 [ 568.15  572.32]
 [ 572.36  574.07]
 [ 574.12  580.71]
 [ 580.75  583.42]
 [ 583.46  585.92]
 [ 585.96  590.26]
 [ 590.3   594.22]
 [ 594.26  597.89]
 [ 597.93  604.77]
 [ 604.81  607.4 ]
 [ 607.44  611.15]
 [ 611.19  616.16]
 [ 616.2   624.17]
 [ 624.21  628.67]
 [ 628.71  631.17]
 [ 631.21  633.67]
 [ 633.72  641.18]
 [ 641.22  642.43]
 [ 642.48  644.44]
 [ 644.48  648.98]
 [ 649.02  651.23]
 [ 651.28  654.2 ]
 [ 654.24  659.2 ]
 [ 659.24  660.45]
 [ 660.49  661.58]
 [ 661.62  662.83]
 [ 662.87  668.29]
 [ 668.33  671.3 ]
 [ 671.34  676.05]
 [ 676.09  678.55]
 [ 678.59  681.56]
 [ 681.6   687.56]
 [ 687.6   691.82]
 [ 691.86  695.57]
 [ 695.61  700.07]
 [ 700.12  704.08]
 [ 704.12  706.58]
 [ 706.62  711.59]
 [ 711.63  717.09]
 [ 717.13  718.97]
 [ 719.01  723.1 ]
 [ 723.14  728.98]
 [ 729.02  733.48]
 [ 733.52  737.24]
 [ 737.28  739.11]
 [ 739.16  740.36]
 [ 740.41  741.95]
 [ 741.99  743.2 ]
 [ 743.24  745.7 ]
 [ 745.74  749.08]
 [ 749.12  754.71]
 [ 754.75  755.42]
 [ 755.46  757.42]
 [ 757.47  759.43]
 [ 759.47  761.55]
 [ 761.59  764.1 ]
 [ 764.14  767.1 ]
 [ 767.14  769.23]
 [ 769.27  771.1 ]
 [ 771.15  772.86]
 [ 772.9   775.73]
 [ 775.78  781.36]
 [ 781.41  788.87]
 [ 788.91  794.63]
 [ 794.67  803.39]
 [ 803.43  804.09]
 [ 804.14  805.8 ]
 [ 805.85  809.23]
 [ 809.27  814.73]
 [ 814.77  818.36]
 [ 818.4   823.36]
 [ 823.41  826.87]
 [ 826.91  829.87]
 [ 829.91  841.09]
 [ 841.13  846.3 ]
 [ 846.35  851.27]
 [ 851.31  853.39]
 [ 853.44  855.4 ]
 [ 855.44  856.86]
 [ 856.9   871.62]
 [ 871.66  873.37]
 [ 873.41  875.71]
 [ 875.75  881.01]
 [ 881.05  890.56]
 [ 890.6   892.02]
 [ 892.06  894.23]
 [ 894.27  897.69]
 [ 897.73  901.19]
 [ 901.23  904.19]
 [ 904.24  906.82]
 [ 906.86  908.07]
 [ 908.12  909.58]
 [ 909.62  911.08]
 [ 911.12  912.79]
 [ 912.83  915.54]
 [ 915.58  918.79]
 [ 918.83  921.55]
 [ 921.59  923.13]
 [ 923.17  924.47]
 [ 924.51  927.22]
 [ 927.26  929.22]
 [ 929.26  930.72]
 [ 930.76  932.72]
 [ 932.77  936.23]
 [ 936.27  942.11]
 [ 942.15  943.36]
 [ 943.4   946.86]
 [ 946.9   949.57]
 [ 949.62  951.58]
 [ 951.62  958.46]
 [ 958.5   960.46]
 [ 960.5   962.96]
 [ 963.    964.25]
 [ 964.3   965.09]
 [ 965.13  968.68]
 [ 968.72  972.3 ]
 [ 972.35  974.06]
 [ 974.1   976.31]
 [ 976.35  981.19]
 [ 981.23  983.19]
 [ 983.23  986.32]
 [ 986.36  990.2 ]
 [ 990.24  992.45]
 [ 992.49  994.79]
 [ 994.83  996.12]
 [ 996.16  997.5 ]
 [ 997.54 1002.08]
 [1002.13 1007.42]
 [1007.46 1010.18]
 [1010.22 1013.68]
 [1013.72 1016.31]
 [1016.35 1018.27]
 [1018.31 1021.4 ]
 [1021.44 1027.03]
 [1027.07 1037.33]
 [1037.37 1039.91]
 [1039.96 1049.84]
 [1049.88 1052.59]
 [1052.63 1055.05]
 [1055.1  1058.77]
 [1058.81 1060.18]
 [1060.23 1062.98]
 [1063.02 1064.98]
 [1065.02 1068.15]
 [1068.19 1070.86]
 [1070.9  1073.11]
 [1073.16 1080.62]
 [1080.66 1081.33]
 [1081.37 1083.5 ]
 [1083.54 1086.96]
 [1087.   1089.42]
 [1089.46 1095.43]
 [1095.47 1097.3 ]
 [1097.35 1098.68]
 [1098.72 1103.06]
 [1103.1  1104.65]
 [1104.69 1108.86]
 [1108.9  1109.86]
 [1109.9  1111.86]
 [1111.9  1114.66]
 [1114.7  1116.66]
 [1116.7  1120.16]
 [1120.2  1122.66]
 [1122.7  1124.67]
 [1124.71 1127.63]
 [1127.67 1128.92]
 [1128.96 1135.09]
 [1135.13 1139.1 ]
 [1139.14 1142.52]
 [1142.56 1145.89]
 [1145.94 1151.82]
 [1151.86 1157.49]
 [1157.53 1161.24]
 [1161.29 1165.12]
 [1165.16 1166.92]
 [1166.96 1171.3 ]
 [1171.34 1177.43]
 [1177.47 1180.05]
 [1180.1  1183.56]
 [1183.6  1186.31]
 [1186.35 1191.82]
 [1191.86 1196.74]
 [1196.78 1198.24]
 [1198.28 1202.91]
 [1202.95 1205.7 ]
 [1205.75 1208.75]
 [1208.79 1214.09]
 [1214.13 1216.59]
 [1216.63 1226.52]
 [1226.56 1229.48]
 [1229.52 1235.86]
 [1235.9  1239.36]
 [1239.4  1249.5 ]
 [1249.54 1252.38]
 [1252.42 1254.63]
 [1254.67 1259.38]
 [1259.42 1260.8 ]
 [1260.84 1262.26]
 [1262.3  1263.26]
 [1263.3  1264.01]
 [1264.05 1272.02]
 [1272.06 1274.02]
 [1274.06 1278.07]
 [1278.11 1280.36]
 [1280.4  1285.45]
 [1285.49 1288.  ]
 [1288.04 1289.5 ]
 [1289.54 1291.04]
 [1291.08 1291.75]
 [1291.79 1293.54]
 [1293.58 1294.79]
 [1294.84 1296.04]
 [1296.09 1297.05]
 [1297.09 1298.34]
 [1298.38 1299.34]
 [1299.38 1301.22]
 [1301.26 1302.68]
 [1302.72 1304.55]
 [1304.59 1307.85]
 [1307.89 1311.85]
 [1311.89 1317.86]
 [1317.9  1328.99]
 [1329.04 1330.41]
 [1330.45 1333.42]
 [1333.46 1342.34]
 [1342.38 1343.63]
 [1343.68 1344.89]
 [1344.93 1346.51]
 [1346.55 1347.43]
 [1347.47 1348.97]
 [1349.01 1350.47]
 [1350.52 1351.73]
 [1351.77 1352.73]
 [1352.77 1353.19]
 [1353.23 1354.06]
 [1354.1  1360.36]
 [1360.4  1361.15]
 [1361.19 1367.91]
 [1367.95 1369.66]
 [1369.7  1373.16]
 [1373.21 1375.42]
 [1375.46 1385.93]
 [1385.97 1392.68]
 [1392.72 1394.18]
 [1394.23 1396.19]
 [1396.23 1399.19]
 [1399.23 1400.44]
 [1400.48 1402.9 ]
 [1402.94 1408.32]
 [1408.37 1409.83]
 [1409.87 1412.33]
 [1412.37 1415.33]
 [1415.37 1422.84]
 [1422.88 1426.84]
 [1426.88 1431.85]
 [1431.89 1438.98]
 [1439.02 1441.98]]
